"Cikkszám";"Termék Név";"Nettó Ár";"Bruttó Ár"
"GPPL0805031";"BERÁNTÓ PARTNER K1250 - utángyártott";"13771.65354330709";"17490"
"GPPL0805036";"BERÁNTÓ PARTNER K1270 - utángyártott";"11488.18897637795";"14590"
"GPPL0805030";"BERÁNTÓ PARTNER K750 - utángyártott";"13771.65354330709";"17490"
"GPPL0805025";"BERÁNTÓ PARTNER P340S, P350S, P360S - utángyártott";"2275.590551181102";"2890"
"GPPL0805013";"BERÁNTÓ PARTNER PULAN 351 - utángyártott";"2118.110236220472";"2690"
"GPPL0805015";"BERÁNTÓ RÁSEGÍTŐ RUGÓ LÁNCFŰRÉSZ HUSQVARNA 340, 345, 350, 350E, 440E, 445E, 450E - utángyártott";"543.3070866141733";"690"
"GPPL0805037";"BERÁNTÓ RÁSEGíTŐ RUGÓ LÁNCLÁNCFŰRÉSZ HUSQVARNA 36, 41, 136, 137, 141, 142, 235, 235E, 236, 236E, 240, 240E";"307.0866141732283";"390"
"GPPL0823006";"BERÁNTÓ RUGÓ DOLMAR 109, 111, 115 MAKITA DCS430, DCS520, DCS5200 - utángyártott";"2039.370078740157";"2590"
"GPPL0802036";"BERÁNTÓ RUGÓ HONDA GCV EVEREST - utángyártott";"937.007874015748";"1190"
"GPPL0802005";"BERÁNTÓ RUGÓ HONDA GX110-GX160 EVEREST - utángyártott";"779.5275590551181";"990"
"GPPL0802009";"BERÁNTÓ RUGÓ HONDA GX240, GX270, GX340,GX390 EVEREST - utángyártott";"858.267716535433";"1090"
"GPPL0805028";"BERÁNTÓ RUGÓ HUSQVARNA 135, 140, 435, 445, 450 EVEREST - utángyártott";"1015.748031496063";"1290"
"GPPL0805009";"BERÁNTÓ RUGÓ HUSQVARNA 340, 345, 350 EVEREST - utángyártott";"937.007874015748";"1190"
"GPPL0805010";"BERÁNTÓ RUGÓ HUSQVARNA 36, 40, 41, 45, 49, 51, 55, 136, 141, 235, 235E, 236, 236E, 240, 240E, 240R, 241R EVEREST - utángyártott";"543.3070866141733";"690"
"GPPL0805022";"BERÁNTÓ RUGÓ HUSQVARNA 362, 365, 372 EVEREST - utángyártott";"937.007874015748";"1190"
"GPPL0812025";"BERÁNTÓ RUGÓ KÍNAI LÁNCFŰRÉSZ 26CC 32CC EVEREST";"464.5669291338583";"590"
"GPPL0812026";"BERÁNTÓ RUGÓ KÍNAI LÁNCFŰRÉSZ 43CC 52CC EVEREST";"464.5669291338583";"590"
"GPPL0812005";"BERÁNTÓ RUGÓ KÍNAI PUHA START KÍNAI FŰKASZÁK 45CC 52CC 58CC";"307.0866141732283";"390"
"GPPL0812030";"BERÁNTÓ RUGÓ LÁNCFŰRÉSZ KÍNAI 38CC EVEREST";"543.3070866141733";"690"
"GPPL0812001";"BERÁNTÓ RUGÓ LÁNCFŰRÉSZ KÍNAI 45CC 52CC 58CC EVEREST";"464.5669291338583";"590"
"GPPL0812020";"BERÁNTÓ RUGÓ LÁNCFŰRÉSZ KÍNAI 45CC 52CC 58CC EVEREST";"307.0866141732283";"390"
"GPPL0823005";"BERÁNTÓ RUGÓ MAKITA 100 PS340 PS400 - utángyártott";"2196.850393700787";"2790"
